School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
Hesby Oaks Leadership Charter,91436,K- 8,NW,4-Nick Melvoin,15530 Hesby St Encino CA 91436,34.161888700000006,-118.47269890000001,3,9
Elysian Heights Elementary,90026,K- 6,C,5-Vacant,1562 Baxter St Los Angeles CA 90026,34.088886200000005,-118.24941880000002,1,7
Nevin Avenue Elementary,90011,K- 5,C,5-Vacant,1569 E 32nd St Los Angeles CA 90011,34.0125015,-118.24658640000001,11,40
7th Street Elementary,90732,K- 5,S,7-Dr Richard A Vladovic,1570 W 7th St San Pedro CA 90732,33.7380764,-118.311229,3,4
Belmont Senior High,90026,9-12,C,2-Monica Garcia,1575 W 2nd St Los Angeles CA 90026,34.06128169999999,-118.2629132,6,52
Bassett Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,15756 Bassett St Lake Balboa CA 91406,34.1955034,-118.47670190000001,10,42
Palisades Charter High School,90272,9-12,XR,4-Nick Melvoin,15777 Bowdoin St Pacific Palisades CA 90272,34.0472126,-118.53044879999999,1,2
186th Street Elementary,90248,K- 5,S,7-Dr Richard A Vladovic,1581 W 186th St Gardena CA 90248,33.863714200000004,-118.30556200000001,0,5
Cohasset Street Elementary,91406,K- 5,NW,6-Kelly Gonez,15810 Saticoy St Lake Balboa CA 91406,34.207947600000004,-118.47809050000001,22,59
Vintage Elementary Math/Science/Technology Magnet,91343,K- 5,NW,3-Scott M Schmerelson,15848 Stare St North Hills CA 91343,34.2525435,-118.47762990000001,0,12
Haskell Elementary STEAM Magnet,91344,K- 5,NW,3-Scott M Schmerelson,15850 Tulsa St Granada Hills CA 91344,34.2680434,-118.4775003,3,11
Albert Einstein Continuation High School,91343,9-12,NW,6-Kelly Gonez,15938 Tupper St North Hills CA 91343,34.2390263,-118.47989540000002,3,34
George K Porter Middle School,91344,6- 8,NW,3-Scott M Schmerelson,15960 Kingsbury St Granada Hills CA 91344,34.262316,-118.479919,0,8
Middle College High School,90047,9-12,W,1-Dr George J McKenna III,1600 Imperial Hwy Bldg 16 Los Angeles CA 90047,33.9309058,-118.30474270000002,0,7
King-Drew Senior High Medicine and Science Magnet,90059,9-12,S,7-Dr Richard A Vladovic,1601 E 120th St Los Angeles CA 90059,33.9241196,-118.2458098,5,47
Gledhill Street Elementary Science/Tech/Math Magnet,91343,1- 5,NW,6-Kelly Gonez,16030 Gledhill St North Hills CA 91343,34.241043,-118.48162579999999,1,26
153rd Street Elementary,90247,K- 6,S,7-Dr Richard A Vladovic,1605 W 153rd St Gardena CA 90247,33.893542700000005,-118.3058835,0,0
Carson Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,161 E Carson St Carson CA 90745,33.831856200000004,-118.27580259999998,0,0
Para Los Ninos Charter,90021,K- 5,XR,2-Monica Garcia,1617 E 7th St Los Angeles CA 90021,34.0352598,-118.2370381,14,198
Denker Avenue Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,1620 W 162nd St Gardena CA 90247,33.8828945,-118.30551399999999,0,3
Magnolia Avenue Elementary,90006,K- 5,C,2-Monica Garcia,1626 S Orchard Ave Los Angeles CA 90006,34.0434932,-118.28797140000002,14,71
Lovelia P Flournoy Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1630 E 111th St Los Angeles CA 90059,33.9342321,-118.245297,30,77
Walgrove Avenue Elementary,90066,K- 5,W,4-Nick Melvoin,1630 Walgrove Ave Los Angeles CA 90066,34.006231,-118.45146299999999,2,23
Jane Addams Continuation High,91344,9-12,NW,3-Scott M Schmerelson,16341 Donmetz St Granada Hills CA 91344,34.2740202,-118.48819820000001,4,4
San Pedro Street Elementary,90015,K- 5,C,2-Monica Garcia,1635 S San Pedro St Los Angeles CA 90015,34.028208,-118.25705719999999,16,87
Edwin Markham Middle School,90002,6- 8,S,7-Dr Richard A Vladovic,1650 E 104th St Los Angeles CA 90002,33.9411254,-118.2457379,27,81
Emerson Community Charter,90024,6- 8,W,4-Nick Melvoin,1650 Selby Ave Los Angeles CA 90024,34.05387460000001,-118.4362071,8,46
Valley Charter Elementary School,91343,K- 5,XR,3-Scott M Schmerelson,16514 Nordhoff St North Hills CA 91343,34.234881,-118.49191609999998,0,3
Animo Jefferson Charter Middle School,90011,6- 8,XR,5-Vacant,1655 E 27th St Ste A Los Angeles CA 90011,34.01270969999999,-118.24398240000001,8,32
Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag,90035,K- 5,W,1-Dr George J McKenna III,1661 S Crescent Hts Blvd Los Angeles CA 90035,34.047263,-118.373998,7,41
Mayall Street Academy of Arts/Technology Magnet,91343,K- 5,NW,3-Scott M Schmerelson,16701 Mayall St North Hills CA 91343,34.2541036,-118.4965015,3,5
Marquez Charter,90272,K- 5,W,4-Nick Melvoin,16821 Marquez Ave Pacific Palisades CA 90272,34.0457867,-118.54774280000001,0,2
Parthenia Academy of Arts and Technology,91343,K- 5,NW,3-Scott M Schmerelson,16825 Napa St North Hills CA 91343,34.227553,-118.499118,1,3
Encino Charter Elementary,91316,K- 5,NW,4-Nick Melvoin,16941 Addison St Encino CA 91316,34.162071600000004,-118.50249440000002,5,9
Wilmington Middle School STEAM Magnet,90744,6- 8,S,7-Dr Richard A Vladovic,1700 Gulf Ave Wilmington CA 90744,33.7978661,-118.27401129999998,3,8
Barack Obama Global Preparation Academy,90062,6- 8,C,1-Dr George J McKenna III,1700 W 46th St Los Angeles CA 90062,34.001137299999996,-118.309155,12,52
Equitas Academy Charter School,90015,K- 5,XR,2-Monica Garcia,1700 W Pico Blvd Los Angeles CA 90015,34.044837,-118.278444,17,88
Gault Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,17000 Gault St Lake Balboa CA 91406,34.1990696,-118.50416409999998,1,14
Birmingham Community Charter High School,91406,9-12,XR,3-Scott M Schmerelson,17000 Haynes St Lake Balboa CA 91406,34.1881585,-118.5042254,3,8
