Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,lat,long,disp_0.5_mile,disp_1_mile,school_0.5_mile,school_1_mile
2017-10-01,1630.0,Hollywood,23,M,B,M,possess 28.5 grams or less of marijuana,34.1016,-118.3267,2,2,2,10
2017-10-01,1630.0,Hollywood,25,M,B,M,possess 28.5 grams or less of marijuana,34.1016,-118.3267,2,2,2,10
2017-10-02,1210.0,Newton,15,M,H,F,possession marijuana for sale,34.0104,-118.2535,0,1,8,17
2017-10-03,1955.0,77th Street,34,M,B,F,transport/sell/furnish/etc marijuana,33.9827,-118.3352,0,0,2,7
2017-10-03,1530.0,Hollywood,31,M,W,M,poss marijuana or concentrated cannabis,34.0962,-118.3267,2,2,0,12
2017-10-03,2210.0,Van Nuys,31,M,W,F,unlawfully plant/cultivate/etc marijuana,34.1827,-118.4465,0,1,2,8
2017-10-04,1145.0,Rampart,19,M,O,F,transport/sell/furnish/etc marijuana,34.0779,-118.266,1,2,4,11
2017-10-05,1720.0,Hollywood,36,M,B,I,smoke/ingest marijuana in public place,34.1016,-118.3333,2,2,2,5
2017-10-05,1720.0,Hollywood,33,M,W,I,smoke/ingest marijuana in public place,34.1016,-118.3333,2,2,2,5
2017-10-05,1720.0,Hollywood,47,M,W,I,smoke/ingest marijuana in public place,34.1016,-118.3333,2,2,2,5
2017-10-05,1720.0,Hollywood,29,M,W,I,smoke/ingest marijuana in public place,34.1016,-118.3333,2,2,2,5
2017-10-05,1720.0,Hollywood,44,M,W,I,smoke/ingest marijuana in public place,34.1016,-118.3333,2,2,2,5
2017-10-06,1955.0,Hollywood,21,M,B,M,possess 28.5 grams or less of marijuana**,34.1016,-118.3387,0,5,2,4
2017-10-06,1745.0,Hollywood,22,M,H,M,possess 28.5 grams or less of marijuana**,34.1016,-118.3387,0,5,2,4
2017-10-06,1415.0,Olympic,28,M,O,F,transport/sell/furnish/etc marijuana,34.0581,-118.3066,0,2,3,12
2017-10-06,1745.0,Hollywood,21,M,H,M,possess 28.5 grams or less of marijuana**,34.1016,-118.3387,0,5,2,4
2017-10-06,1245.0,Harbor,42,M,H,F,transport/sell/furnish/etc marijuana,33.7895,-118.2999,0,0,1,5
2017-10-07,1950.0,Central,23,M,B,F,possession marijuana for sale,34.0481,-118.2507,7,12,2,9
2017-10-07,2213.0,Hollywood,26,M,B,F,transport/sell/furnish/etc marijuana,34.1016,-118.335,2,2,2,5
2017-10-08,35.0,77th Street,65,M,H,F,transport/sell/furnish/etc marijuana,33.9739,-118.2608,0,2,3,14
2017-10-08,2230.0,Rampart,27,M,B,F,transport/sell/furnish/etc marijuana,34.0405,-118.2769,0,11,6,16
2017-10-08,1200.0,Pacific,64,M,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2017-10-10,1535.0,Hollywood,27,M,H,M,possess 28.5 grams or less of marijuana,34.1016,-118.3417,0,5,2,4
2017-10-10,1410.0,Northeast,58,F,H,M,cultivating <6 marijuana plants,34.1263,-118.1845,0,0,3,7
2017-10-11,1630.0,Southeast,38,M,H,F,transport/sell/furnish/etc marijuana,33.9237,-118.2915,0,0,1,6
2017-10-11,1630.0,Southeast,26,M,H,F,transport/sell/furnish/etc marijuana,33.9237,-118.2915,0,0,1,6
2017-10-12,1615.0,Van Nuys,46,M,B,I,possess 28.5 grams or less of marijuana,34.1923,-118.452,0,1,5,10
2017-10-12,1045.0,West LA,23,M,W,F,possession marijuana for sale,34.1016,-118.4147,0,0,0,0
2017-10-12,1245.0,Mission,19,M,H,M,possess 28.5 grams or less of marijuana,34.2301,-118.4698,0,0,2,14
2017-10-13,1000.0,Pacific,40,F,H,F,transport/sell/furnish/etc marijuana,33.9451,-118.4029,0,1,0,0
2017-10-14,1520.0,Hollywood,26,M,B,I,possess 28.5 grams or less of marijuana,34.0987,-118.3337,2,4,2,6
2017-10-16,750.0,Van Nuys,55,M,W,M,cultivating <6 marijuana plants,34.1837,-118.4465,0,1,2,7
2017-10-16,1620.0,Northeast,19,M,H,F,possession marijuana for sale,34.1203,-118.2384,0,0,3,8
2017-10-17,1545.0,N Hollywood,34,M,B,F,possession marijuana for sale,34.1284,-118.3568,1,2,0,1
